Measure	Value	Library
Filename	V11_DN_S223_L003_R1_001.fastq.gz	V11_DN_S223_L003_R1_001_fastqc
File type	Conventional base calls	V11_DN_S223_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	V11_DN_S223_L003_R1_001_fastqc
Total Sequences	8949342	V11_DN_S223_L003_R1_001_fastqc
Sequences flagged as poor quality	0	V11_DN_S223_L003_R1_001_fastqc
Sequence length	151	V11_DN_S223_L003_R1_001_fastqc
%GC	59	V11_DN_S223_L003_R1_001_fastqc
Filename	V11_DN_S223_L003_R2_001.fastq.gz	V11_DN_S223_L003_R2_001_fastqc
File type	Conventional base calls	V11_DN_S223_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	V11_DN_S223_L003_R2_001_fastqc
Total Sequences	8949342	V11_DN_S223_L003_R2_001_fastqc
Sequences flagged as poor quality	0	V11_DN_S223_L003_R2_001_fastqc
Sequence length	151	V11_DN_S223_L003_R2_001_fastqc
%GC	58	V11_DN_S223_L003_R2_001_fastqc
Filename	V17_DN_S224_L003_R1_001.fastq.gz	V17_DN_S224_L003_R1_001_fastqc
File type	Conventional base calls	V17_DN_S224_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	V17_DN_S224_L003_R1_001_fastqc
Total Sequences	9582416	V17_DN_S224_L003_R1_001_fastqc
Sequences flagged as poor quality	0	V17_DN_S224_L003_R1_001_fastqc
Sequence length	151	V17_DN_S224_L003_R1_001_fastqc
%GC	57	V17_DN_S224_L003_R1_001_fastqc
Filename	V17_DN_S224_L003_R2_001.fastq.gz	V17_DN_S224_L003_R2_001_fastqc
File type	Conventional base calls	V17_DN_S224_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	V17_DN_S224_L003_R2_001_fastqc
Total Sequences	9582416	V17_DN_S224_L003_R2_001_fastqc
Sequences flagged as poor quality	0	V17_DN_S224_L003_R2_001_fastqc
Sequence length	151	V17_DN_S224_L003_R2_001_fastqc
%GC	58	V17_DN_S224_L003_R2_001_fastqc
Filename	V19_DN_S225_L003_R1_001.fastq.gz	V19_DN_S225_L003_R1_001_fastqc
File type	Conventional base calls	V19_DN_S225_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	V19_DN_S225_L003_R1_001_fastqc
Total Sequences	11099297	V19_DN_S225_L003_R1_001_fastqc
Sequences flagged as poor quality	0	V19_DN_S225_L003_R1_001_fastqc
Sequence length	151	V19_DN_S225_L003_R1_001_fastqc
%GC	57	V19_DN_S225_L003_R1_001_fastqc
Filename	V19_DN_S225_L003_R2_001.fastq.gz	V19_DN_S225_L003_R2_001_fastqc
File type	Conventional base calls	V19_DN_S225_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	V19_DN_S225_L003_R2_001_fastqc
Total Sequences	11099297	V19_DN_S225_L003_R2_001_fastqc
Sequences flagged as poor quality	0	V19_DN_S225_L003_R2_001_fastqc
Sequence length	151	V19_DN_S225_L003_R2_001_fastqc
%GC	57	V19_DN_S225_L003_R2_001_fastqc
Filename	WUB_TM01_S131_L003_R1_001.fastq.gz	WUB_TM01_S131_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM01_S131_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM01_S131_L003_R1_001_fastqc
Total Sequences	15967819	WUB_TM01_S131_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM01_S131_L003_R1_001_fastqc
Sequence length	151	WUB_TM01_S131_L003_R1_001_fastqc
%GC	67	WUB_TM01_S131_L003_R1_001_fastqc
Filename	WUB_TM01_S131_L003_R2_001.fastq.gz	WUB_TM01_S131_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM01_S131_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM01_S131_L003_R2_001_fastqc
Total Sequences	15967819	WUB_TM01_S131_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM01_S131_L003_R2_001_fastqc
Sequence length	151	WUB_TM01_S131_L003_R2_001_fastqc
%GC	67	WUB_TM01_S131_L003_R2_001_fastqc
Filename	WUB_TM02_S132_L003_R1_001.fastq.gz	WUB_TM02_S132_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM02_S132_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM02_S132_L003_R1_001_fastqc
Total Sequences	16443761	WUB_TM02_S132_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM02_S132_L003_R1_001_fastqc
Sequence length	151	WUB_TM02_S132_L003_R1_001_fastqc
%GC	67	WUB_TM02_S132_L003_R1_001_fastqc
Filename	WUB_TM02_S132_L003_R2_001.fastq.gz	WUB_TM02_S132_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM02_S132_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM02_S132_L003_R2_001_fastqc
Total Sequences	16443761	WUB_TM02_S132_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM02_S132_L003_R2_001_fastqc
Sequence length	151	WUB_TM02_S132_L003_R2_001_fastqc
%GC	67	WUB_TM02_S132_L003_R2_001_fastqc
Filename	WUB_TM03_S133_L003_R1_001.fastq.gz	WUB_TM03_S133_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM03_S133_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM03_S133_L003_R1_001_fastqc
Total Sequences	18160506	WUB_TM03_S133_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM03_S133_L003_R1_001_fastqc
Sequence length	151	WUB_TM03_S133_L003_R1_001_fastqc
%GC	67	WUB_TM03_S133_L003_R1_001_fastqc
Filename	WUB_TM03_S133_L003_R2_001.fastq.gz	WUB_TM03_S133_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM03_S133_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM03_S133_L003_R2_001_fastqc
Total Sequences	18160506	WUB_TM03_S133_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM03_S133_L003_R2_001_fastqc
Sequence length	151	WUB_TM03_S133_L003_R2_001_fastqc
%GC	67	WUB_TM03_S133_L003_R2_001_fastqc
Filename	WUB_TM04_S134_L003_R1_001.fastq.gz	WUB_TM04_S134_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM04_S134_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM04_S134_L003_R1_001_fastqc
Total Sequences	17713782	WUB_TM04_S134_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM04_S134_L003_R1_001_fastqc
Sequence length	151	WUB_TM04_S134_L003_R1_001_fastqc
%GC	66	WUB_TM04_S134_L003_R1_001_fastqc
Filename	WUB_TM04_S134_L003_R2_001.fastq.gz	WUB_TM04_S134_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM04_S134_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM04_S134_L003_R2_001_fastqc
Total Sequences	17713782	WUB_TM04_S134_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM04_S134_L003_R2_001_fastqc
Sequence length	151	WUB_TM04_S134_L003_R2_001_fastqc
%GC	66	WUB_TM04_S134_L003_R2_001_fastqc
Filename	WUB_TM05_S135_L003_R1_001.fastq.gz	WUB_TM05_S135_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM05_S135_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM05_S135_L003_R1_001_fastqc
Total Sequences	18334498	WUB_TM05_S135_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM05_S135_L003_R1_001_fastqc
Sequence length	151	WUB_TM05_S135_L003_R1_001_fastqc
%GC	66	WUB_TM05_S135_L003_R1_001_fastqc
Filename	WUB_TM05_S135_L003_R2_001.fastq.gz	WUB_TM05_S135_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM05_S135_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM05_S135_L003_R2_001_fastqc
Total Sequences	18334498	WUB_TM05_S135_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM05_S135_L003_R2_001_fastqc
Sequence length	151	WUB_TM05_S135_L003_R2_001_fastqc
%GC	66	WUB_TM05_S135_L003_R2_001_fastqc
Filename	WUB_TM06_S136_L003_R1_001.fastq.gz	WUB_TM06_S136_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM06_S136_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM06_S136_L003_R1_001_fastqc
Total Sequences	16836205	WUB_TM06_S136_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM06_S136_L003_R1_001_fastqc
Sequence length	151	WUB_TM06_S136_L003_R1_001_fastqc
%GC	66	WUB_TM06_S136_L003_R1_001_fastqc
Filename	WUB_TM06_S136_L003_R2_001.fastq.gz	WUB_TM06_S136_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM06_S136_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM06_S136_L003_R2_001_fastqc
Total Sequences	16836205	WUB_TM06_S136_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM06_S136_L003_R2_001_fastqc
Sequence length	151	WUB_TM06_S136_L003_R2_001_fastqc
%GC	66	WUB_TM06_S136_L003_R2_001_fastqc
Filename	WUB_TM07_S137_L003_R1_001.fastq.gz	WUB_TM07_S137_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM07_S137_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM07_S137_L003_R1_001_fastqc
Total Sequences	14976317	WUB_TM07_S137_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM07_S137_L003_R1_001_fastqc
Sequence length	151	WUB_TM07_S137_L003_R1_001_fastqc
%GC	66	WUB_TM07_S137_L003_R1_001_fastqc
Filename	WUB_TM07_S137_L003_R2_001.fastq.gz	WUB_TM07_S137_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM07_S137_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM07_S137_L003_R2_001_fastqc
Total Sequences	14976317	WUB_TM07_S137_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM07_S137_L003_R2_001_fastqc
Sequence length	151	WUB_TM07_S137_L003_R2_001_fastqc
%GC	66	WUB_TM07_S137_L003_R2_001_fastqc
Filename	WUB_TM08_S138_L003_R1_001.fastq.gz	WUB_TM08_S138_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM08_S138_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM08_S138_L003_R1_001_fastqc
Total Sequences	16952355	WUB_TM08_S138_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM08_S138_L003_R1_001_fastqc
Sequence length	151	WUB_TM08_S138_L003_R1_001_fastqc
%GC	66	WUB_TM08_S138_L003_R1_001_fastqc
Filename	WUB_TM08_S138_L003_R2_001.fastq.gz	WUB_TM08_S138_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM08_S138_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM08_S138_L003_R2_001_fastqc
Total Sequences	16952355	WUB_TM08_S138_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM08_S138_L003_R2_001_fastqc
Sequence length	151	WUB_TM08_S138_L003_R2_001_fastqc
%GC	66	WUB_TM08_S138_L003_R2_001_fastqc
Filename	WUB_TM09_S139_L003_R1_001.fastq.gz	WUB_TM09_S139_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM09_S139_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM09_S139_L003_R1_001_fastqc
Total Sequences	15887950	WUB_TM09_S139_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM09_S139_L003_R1_001_fastqc
Sequence length	151	WUB_TM09_S139_L003_R1_001_fastqc
%GC	65	WUB_TM09_S139_L003_R1_001_fastqc
Filename	WUB_TM09_S139_L003_R2_001.fastq.gz	WUB_TM09_S139_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM09_S139_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM09_S139_L003_R2_001_fastqc
Total Sequences	15887950	WUB_TM09_S139_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM09_S139_L003_R2_001_fastqc
Sequence length	151	WUB_TM09_S139_L003_R2_001_fastqc
%GC	65	WUB_TM09_S139_L003_R2_001_fastqc
Filename	WUB_TM10_S140_L003_R1_001.fastq.gz	WUB_TM10_S140_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM10_S140_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM10_S140_L003_R1_001_fastqc
Total Sequences	16035619	WUB_TM10_S140_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM10_S140_L003_R1_001_fastqc
Sequence length	151	WUB_TM10_S140_L003_R1_001_fastqc
%GC	65	WUB_TM10_S140_L003_R1_001_fastqc
Filename	WUB_TM10_S140_L003_R2_001.fastq.gz	WUB_TM10_S140_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM10_S140_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM10_S140_L003_R2_001_fastqc
Total Sequences	16035619	WUB_TM10_S140_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM10_S140_L003_R2_001_fastqc
Sequence length	151	WUB_TM10_S140_L003_R2_001_fastqc
%GC	65	WUB_TM10_S140_L003_R2_001_fastqc
Filename	WUB_TM11_S141_L003_R1_001.fastq.gz	WUB_TM11_S141_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM11_S141_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM11_S141_L003_R1_001_fastqc
Total Sequences	17524591	WUB_TM11_S141_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM11_S141_L003_R1_001_fastqc
Sequence length	151	WUB_TM11_S141_L003_R1_001_fastqc
%GC	65	WUB_TM11_S141_L003_R1_001_fastqc
Filename	WUB_TM11_S141_L003_R2_001.fastq.gz	WUB_TM11_S141_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM11_S141_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM11_S141_L003_R2_001_fastqc
Total Sequences	17524591	WUB_TM11_S141_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM11_S141_L003_R2_001_fastqc
Sequence length	151	WUB_TM11_S141_L003_R2_001_fastqc
%GC	65	WUB_TM11_S141_L003_R2_001_fastqc
Filename	WUB_TM12_S142_L003_R1_001.fastq.gz	WUB_TM12_S142_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM12_S142_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM12_S142_L003_R1_001_fastqc
Total Sequences	19685327	WUB_TM12_S142_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM12_S142_L003_R1_001_fastqc
Sequence length	151	WUB_TM12_S142_L003_R1_001_fastqc
%GC	65	WUB_TM12_S142_L003_R1_001_fastqc
Filename	WUB_TM12_S142_L003_R2_001.fastq.gz	WUB_TM12_S142_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM12_S142_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM12_S142_L003_R2_001_fastqc
Total Sequences	19685327	WUB_TM12_S142_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM12_S142_L003_R2_001_fastqc
Sequence length	151	WUB_TM12_S142_L003_R2_001_fastqc
%GC	65	WUB_TM12_S142_L003_R2_001_fastqc
Filename	WUB_TM13_S143_L003_R1_001.fastq.gz	WUB_TM13_S143_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM13_S143_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM13_S143_L003_R1_001_fastqc
Total Sequences	19293355	WUB_TM13_S143_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM13_S143_L003_R1_001_fastqc
Sequence length	151	WUB_TM13_S143_L003_R1_001_fastqc
%GC	66	WUB_TM13_S143_L003_R1_001_fastqc
Filename	WUB_TM13_S143_L003_R2_001.fastq.gz	WUB_TM13_S143_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM13_S143_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM13_S143_L003_R2_001_fastqc
Total Sequences	19293355	WUB_TM13_S143_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM13_S143_L003_R2_001_fastqc
Sequence length	151	WUB_TM13_S143_L003_R2_001_fastqc
%GC	66	WUB_TM13_S143_L003_R2_001_fastqc
Filename	WUB_TM14_S144_L003_R1_001.fastq.gz	WUB_TM14_S144_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM14_S144_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM14_S144_L003_R1_001_fastqc
Total Sequences	17206868	WUB_TM14_S144_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM14_S144_L003_R1_001_fastqc
Sequence length	151	WUB_TM14_S144_L003_R1_001_fastqc
%GC	65	WUB_TM14_S144_L003_R1_001_fastqc
Filename	WUB_TM14_S144_L003_R2_001.fastq.gz	WUB_TM14_S144_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM14_S144_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM14_S144_L003_R2_001_fastqc
Total Sequences	17206868	WUB_TM14_S144_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM14_S144_L003_R2_001_fastqc
Sequence length	151	WUB_TM14_S144_L003_R2_001_fastqc
%GC	65	WUB_TM14_S144_L003_R2_001_fastqc
Filename	WUB_TM15_S145_L003_R1_001.fastq.gz	WUB_TM15_S145_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM15_S145_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM15_S145_L003_R1_001_fastqc
Total Sequences	22372718	WUB_TM15_S145_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM15_S145_L003_R1_001_fastqc
Sequence length	151	WUB_TM15_S145_L003_R1_001_fastqc
%GC	65	WUB_TM15_S145_L003_R1_001_fastqc
Filename	WUB_TM15_S145_L003_R2_001.fastq.gz	WUB_TM15_S145_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM15_S145_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM15_S145_L003_R2_001_fastqc
Total Sequences	22372718	WUB_TM15_S145_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM15_S145_L003_R2_001_fastqc
Sequence length	151	WUB_TM15_S145_L003_R2_001_fastqc
%GC	65	WUB_TM15_S145_L003_R2_001_fastqc
Filename	WUB_TM16_S146_L003_R1_001.fastq.gz	WUB_TM16_S146_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM16_S146_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM16_S146_L003_R1_001_fastqc
Total Sequences	18904950	WUB_TM16_S146_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM16_S146_L003_R1_001_fastqc
Sequence length	151	WUB_TM16_S146_L003_R1_001_fastqc
%GC	65	WUB_TM16_S146_L003_R1_001_fastqc
Filename	WUB_TM16_S146_L003_R2_001.fastq.gz	WUB_TM16_S146_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM16_S146_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM16_S146_L003_R2_001_fastqc
Total Sequences	18904950	WUB_TM16_S146_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM16_S146_L003_R2_001_fastqc
Sequence length	151	WUB_TM16_S146_L003_R2_001_fastqc
%GC	65	WUB_TM16_S146_L003_R2_001_fastqc
Filename	WUB_TM17_S147_L003_R1_001.fastq.gz	WUB_TM17_S147_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM17_S147_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM17_S147_L003_R1_001_fastqc
Total Sequences	15839375	WUB_TM17_S147_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM17_S147_L003_R1_001_fastqc
Sequence length	151	WUB_TM17_S147_L003_R1_001_fastqc
%GC	65	WUB_TM17_S147_L003_R1_001_fastqc
Filename	WUB_TM17_S147_L003_R2_001.fastq.gz	WUB_TM17_S147_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM17_S147_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM17_S147_L003_R2_001_fastqc
Total Sequences	15839375	WUB_TM17_S147_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM17_S147_L003_R2_001_fastqc
Sequence length	151	WUB_TM17_S147_L003_R2_001_fastqc
%GC	65	WUB_TM17_S147_L003_R2_001_fastqc
Filename	WUB_TM18_S148_L003_R1_001.fastq.gz	WUB_TM18_S148_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM18_S148_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM18_S148_L003_R1_001_fastqc
Total Sequences	14721453	WUB_TM18_S148_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM18_S148_L003_R1_001_fastqc
Sequence length	151	WUB_TM18_S148_L003_R1_001_fastqc
%GC	65	WUB_TM18_S148_L003_R1_001_fastqc
Filename	WUB_TM18_S148_L003_R2_001.fastq.gz	WUB_TM18_S148_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM18_S148_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM18_S148_L003_R2_001_fastqc
Total Sequences	14721453	WUB_TM18_S148_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM18_S148_L003_R2_001_fastqc
Sequence length	151	WUB_TM18_S148_L003_R2_001_fastqc
%GC	65	WUB_TM18_S148_L003_R2_001_fastqc
Filename	WUB_TM19_S149_L003_R1_001.fastq.gz	WUB_TM19_S149_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM19_S149_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM19_S149_L003_R1_001_fastqc
Total Sequences	18205271	WUB_TM19_S149_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM19_S149_L003_R1_001_fastqc
Sequence length	151	WUB_TM19_S149_L003_R1_001_fastqc
%GC	65	WUB_TM19_S149_L003_R1_001_fastqc
