Measure	Value	Library
Sequence length	50-151	V09_DN_R1_rmphix_fastqc
%GC	59	V09_DN_R1_rmphix_fastqc
Filename	V09_DN_R2_rmphix.fq.gz	V09_DN_R2_rmphix_fastqc
File type	Conventional base calls	V09_DN_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	V09_DN_R2_rmphix_fastqc
Total Sequences	28232921	V09_DN_R2_rmphix_fastqc
Sequences flagged as poor quality	0	V09_DN_R2_rmphix_fastqc
Sequence length	50-151	V09_DN_R2_rmphix_fastqc
%GC	59	V09_DN_R2_rmphix_fastqc
Filename	V10_DN_R1_rmphix.fq.gz	V10_DN_R1_rmphix_fastqc
File type	Conventional base calls	V10_DN_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	V10_DN_R1_rmphix_fastqc
Total Sequences	28203014	V10_DN_R1_rmphix_fastqc
Sequences flagged as poor quality	0	V10_DN_R1_rmphix_fastqc
Sequence length	50-151	V10_DN_R1_rmphix_fastqc
%GC	59	V10_DN_R1_rmphix_fastqc
Filename	V10_DN_R2_rmphix.fq.gz	V10_DN_R2_rmphix_fastqc
File type	Conventional base calls	V10_DN_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	V10_DN_R2_rmphix_fastqc
Total Sequences	28203014	V10_DN_R2_rmphix_fastqc
Sequences flagged as poor quality	0	V10_DN_R2_rmphix_fastqc
Sequence length	50-151	V10_DN_R2_rmphix_fastqc
%GC	59	V10_DN_R2_rmphix_fastqc
Filename	V11_DN_R1_rmphix.fq.gz	V11_DN_R1_rmphix_fastqc
File type	Conventional base calls	V11_DN_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	V11_DN_R1_rmphix_fastqc
Total Sequences	26891293	V11_DN_R1_rmphix_fastqc
Sequences flagged as poor quality	0	V11_DN_R1_rmphix_fastqc
Sequence length	50-151	V11_DN_R1_rmphix_fastqc
%GC	60	V11_DN_R1_rmphix_fastqc
Filename	V11_DN_R2_rmphix.fq.gz	V11_DN_R2_rmphix_fastqc
File type	Conventional base calls	V11_DN_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	V11_DN_R2_rmphix_fastqc
Total Sequences	26891293	V11_DN_R2_rmphix_fastqc
Sequences flagged as poor quality	0	V11_DN_R2_rmphix_fastqc
Sequence length	50-151	V11_DN_R2_rmphix_fastqc
%GC	60	V11_DN_R2_rmphix_fastqc
Filename	V17_DN_R1_rmphix.fq.gz	V17_DN_R1_rmphix_fastqc
File type	Conventional base calls	V17_DN_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	V17_DN_R1_rmphix_fastqc
Total Sequences	28517540	V17_DN_R1_rmphix_fastqc
Sequences flagged as poor quality	0	V17_DN_R1_rmphix_fastqc
Sequence length	50-151	V17_DN_R1_rmphix_fastqc
%GC	58	V17_DN_R1_rmphix_fastqc
Filename	V17_DN_R2_rmphix.fq.gz	V17_DN_R2_rmphix_fastqc
File type	Conventional base calls	V17_DN_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	V17_DN_R2_rmphix_fastqc
Total Sequences	28517540	V17_DN_R2_rmphix_fastqc
Sequences flagged as poor quality	0	V17_DN_R2_rmphix_fastqc
Sequence length	50-151	V17_DN_R2_rmphix_fastqc
%GC	58	V17_DN_R2_rmphix_fastqc
Filename	V19_DN_R1_rmphix.fq.gz	V19_DN_R1_rmphix_fastqc
File type	Conventional base calls	V19_DN_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	V19_DN_R1_rmphix_fastqc
Total Sequences	26991961	V19_DN_R1_rmphix_fastqc
Sequences flagged as poor quality	0	V19_DN_R1_rmphix_fastqc
Sequence length	50-151	V19_DN_R1_rmphix_fastqc
%GC	57	V19_DN_R1_rmphix_fastqc
Filename	V19_DN_R2_rmphix.fq.gz	V19_DN_R2_rmphix_fastqc
File type	Conventional base calls	V19_DN_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	V19_DN_R2_rmphix_fastqc
Total Sequences	26991961	V19_DN_R2_rmphix_fastqc
Sequences flagged as poor quality	0	V19_DN_R2_rmphix_fastqc
Sequence length	50-151	V19_DN_R2_rmphix_fastqc
%GC	58	V19_DN_R2_rmphix_fastqc
Filename	WUB_TM01_R1_rmphix.fq.gz	WUB_TM01_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM01_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM01_R1_rmphix_fastqc
Total Sequences	68488772	WUB_TM01_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM01_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM01_R1_rmphix_fastqc
%GC	67	WUB_TM01_R1_rmphix_fastqc
Filename	WUB_TM01_R2_rmphix.fq.gz	WUB_TM01_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM01_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM01_R2_rmphix_fastqc
Total Sequences	68488772	WUB_TM01_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM01_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM01_R2_rmphix_fastqc
%GC	67	WUB_TM01_R2_rmphix_fastqc
Filename	WUB_TM02_R1_rmphix.fq.gz	WUB_TM02_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM02_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM02_R1_rmphix_fastqc
Total Sequences	67166607	WUB_TM02_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM02_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM02_R1_rmphix_fastqc
%GC	67	WUB_TM02_R1_rmphix_fastqc
Filename	WUB_TM02_R2_rmphix.fq.gz	WUB_TM02_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM02_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM02_R2_rmphix_fastqc
Total Sequences	67166607	WUB_TM02_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM02_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM02_R2_rmphix_fastqc
%GC	67	WUB_TM02_R2_rmphix_fastqc
Filename	WUB_TM03_R1_rmphix.fq.gz	WUB_TM03_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM03_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM03_R1_rmphix_fastqc
Total Sequences	68296702	WUB_TM03_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM03_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM03_R1_rmphix_fastqc
%GC	67	WUB_TM03_R1_rmphix_fastqc
Filename	WUB_TM03_R2_rmphix.fq.gz	WUB_TM03_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM03_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM03_R2_rmphix_fastqc
Total Sequences	68296702	WUB_TM03_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM03_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM03_R2_rmphix_fastqc
%GC	67	WUB_TM03_R2_rmphix_fastqc
Filename	WUB_TM04_R1_rmphix.fq.gz	WUB_TM04_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM04_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM04_R1_rmphix_fastqc
Total Sequences	74640788	WUB_TM04_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM04_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM04_R1_rmphix_fastqc
%GC	66	WUB_TM04_R1_rmphix_fastqc
Filename	WUB_TM04_R2_rmphix.fq.gz	WUB_TM04_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM04_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM04_R2_rmphix_fastqc
Total Sequences	74640788	WUB_TM04_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM04_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM04_R2_rmphix_fastqc
%GC	66	WUB_TM04_R2_rmphix_fastqc
Filename	WUB_TM05_R1_rmphix.fq.gz	WUB_TM05_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM05_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM05_R1_rmphix_fastqc
Total Sequences	66901023	WUB_TM05_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM05_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM05_R1_rmphix_fastqc
%GC	66	WUB_TM05_R1_rmphix_fastqc
Filename	WUB_TM05_R2_rmphix.fq.gz	WUB_TM05_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM05_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM05_R2_rmphix_fastqc
Total Sequences	66901023	WUB_TM05_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM05_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM05_R2_rmphix_fastqc
%GC	66	WUB_TM05_R2_rmphix_fastqc
Filename	WUB_TM06_R1_rmphix.fq.gz	WUB_TM06_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM06_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM06_R1_rmphix_fastqc
Total Sequences	91372796	WUB_TM06_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM06_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM06_R1_rmphix_fastqc
%GC	66	WUB_TM06_R1_rmphix_fastqc
Filename	WUB_TM06_R2_rmphix.fq.gz	WUB_TM06_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM06_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM06_R2_rmphix_fastqc
Total Sequences	91372796	WUB_TM06_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM06_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM06_R2_rmphix_fastqc
%GC	66	WUB_TM06_R2_rmphix_fastqc
Filename	WUB_TM07_R1_rmphix.fq.gz	WUB_TM07_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM07_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM07_R1_rmphix_fastqc
Total Sequences	65915079	WUB_TM07_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM07_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM07_R1_rmphix_fastqc
%GC	66	WUB_TM07_R1_rmphix_fastqc
Filename	WUB_TM07_R2_rmphix.fq.gz	WUB_TM07_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM07_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM07_R2_rmphix_fastqc
Total Sequences	65915079	WUB_TM07_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM07_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM07_R2_rmphix_fastqc
%GC	66	WUB_TM07_R2_rmphix_fastqc
Filename	WUB_TM08_R1_rmphix.fq.gz	WUB_TM08_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM08_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM08_R1_rmphix_fastqc
Total Sequences	67810214	WUB_TM08_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM08_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM08_R1_rmphix_fastqc
%GC	66	WUB_TM08_R1_rmphix_fastqc
Filename	WUB_TM08_R2_rmphix.fq.gz	WUB_TM08_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM08_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM08_R2_rmphix_fastqc
Total Sequences	67810214	WUB_TM08_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM08_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM08_R2_rmphix_fastqc
%GC	66	WUB_TM08_R2_rmphix_fastqc
Filename	WUB_TM09_R1_rmphix.fq.gz	WUB_TM09_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM09_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM09_R1_rmphix_fastqc
Total Sequences	70302962	WUB_TM09_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM09_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM09_R1_rmphix_fastqc
%GC	65	WUB_TM09_R1_rmphix_fastqc
Filename	WUB_TM09_R2_rmphix.fq.gz	WUB_TM09_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM09_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM09_R2_rmphix_fastqc
Total Sequences	70302962	WUB_TM09_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM09_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM09_R2_rmphix_fastqc
%GC	65	WUB_TM09_R2_rmphix_fastqc
Filename	WUB_TM10_R1_rmphix.fq.gz	WUB_TM10_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM10_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM10_R1_rmphix_fastqc
Total Sequences	68068100	WUB_TM10_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM10_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM10_R1_rmphix_fastqc
%GC	65	WUB_TM10_R1_rmphix_fastqc
Filename	WUB_TM10_R2_rmphix.fq.gz	WUB_TM10_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM10_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM10_R2_rmphix_fastqc
Total Sequences	68068100	WUB_TM10_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM10_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM10_R2_rmphix_fastqc
%GC	65	WUB_TM10_R2_rmphix_fastqc
Filename	WUB_TM11_R1_rmphix.fq.gz	WUB_TM11_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM11_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM11_R1_rmphix_fastqc
Total Sequences	76984699	WUB_TM11_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM11_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM11_R1_rmphix_fastqc
%GC	65	WUB_TM11_R1_rmphix_fastqc
Filename	WUB_TM11_R2_rmphix.fq.gz	WUB_TM11_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM11_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM11_R2_rmphix_fastqc
Total Sequences	76984699	WUB_TM11_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM11_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM11_R2_rmphix_fastqc
%GC	66	WUB_TM11_R2_rmphix_fastqc
Filename	WUB_TM12_R1_rmphix.fq.gz	WUB_TM12_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM12_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM12_R1_rmphix_fastqc
Total Sequences	63803098	WUB_TM12_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM12_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM12_R1_rmphix_fastqc
%GC	65	WUB_TM12_R1_rmphix_fastqc
Filename	WUB_TM12_R2_rmphix.fq.gz	WUB_TM12_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM12_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM12_R2_rmphix_fastqc
Total Sequences	63803098	WUB_TM12_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM12_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM12_R2_rmphix_fastqc
%GC	65	WUB_TM12_R2_rmphix_fastqc
Filename	WUB_TM13_R1_rmphix.fq.gz	WUB_TM13_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM13_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM13_R1_rmphix_fastqc
Total Sequences	56536004	WUB_TM13_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM13_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM13_R1_rmphix_fastqc
%GC	66	WUB_TM13_R1_rmphix_fastqc
Filename	WUB_TM13_R2_rmphix.fq.gz	WUB_TM13_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM13_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM13_R2_rmphix_fastqc
Total Sequences	56536004	WUB_TM13_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM13_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM13_R2_rmphix_fastqc
%GC	66	WUB_TM13_R2_rmphix_fastqc
Filename	WUB_TM14_R1_rmphix.fq.gz	WUB_TM14_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM14_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM14_R1_rmphix_fastqc
Total Sequences	78987752	WUB_TM14_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM14_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM14_R1_rmphix_fastqc
%GC	66	WUB_TM14_R1_rmphix_fastqc
Filename	WUB_TM14_R2_rmphix.fq.gz	WUB_TM14_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM14_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM14_R2_rmphix_fastqc
Total Sequences	78987752	WUB_TM14_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM14_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM14_R2_rmphix_fastqc
%GC	66	WUB_TM14_R2_rmphix_fastqc
Filename	WUB_TM15_R1_rmphix.fq.gz	WUB_TM15_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM15_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM15_R1_rmphix_fastqc
Total Sequences	59251269	WUB_TM15_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM15_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM15_R1_rmphix_fastqc
%GC	65	WUB_TM15_R1_rmphix_fastqc
Filename	WUB_TM15_R2_rmphix.fq.gz	WUB_TM15_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM15_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM15_R2_rmphix_fastqc
Total Sequences	59251269	WUB_TM15_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM15_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM15_R2_rmphix_fastqc
%GC	65	WUB_TM15_R2_rmphix_fastqc
Filename	WUB_TM16_R1_rmphix.fq.gz	WUB_TM16_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM16_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM16_R1_rmphix_fastqc
Total Sequences	60536085	WUB_TM16_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM16_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM16_R1_rmphix_fastqc
%GC	65	WUB_TM16_R1_rmphix_fastqc
Filename	WUB_TM16_R2_rmphix.fq.gz	WUB_TM16_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM16_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM16_R2_rmphix_fastqc
Total Sequences	60536085	WUB_TM16_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM16_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM16_R2_rmphix_fastqc
%GC	65	WUB_TM16_R2_rmphix_fastqc
Filename	WUB_TM17_R1_rmphix.fq.gz	WUB_TM17_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM17_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM17_R1_rmphix_fastqc
Total Sequences	69343541	WUB_TM17_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM17_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM17_R1_rmphix_fastqc
%GC	65	WUB_TM17_R1_rmphix_fastqc
Filename	WUB_TM17_R2_rmphix.fq.gz	WUB_TM17_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM17_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM17_R2_rmphix_fastqc
Total Sequences	69343541	WUB_TM17_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM17_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM17_R2_rmphix_fastqc
%GC	65	WUB_TM17_R2_rmphix_fastqc
Filename	WUB_TM18_R1_rmphix.fq.gz	WUB_TM18_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM18_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM18_R1_rmphix_fastqc
Total Sequences	71519772	WUB_TM18_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM18_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM18_R1_rmphix_fastqc
%GC	65	WUB_TM18_R1_rmphix_fastqc
Filename	WUB_TM18_R2_rmphix.fq.gz	WUB_TM18_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM18_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM18_R2_rmphix_fastqc
Total Sequences	71519772	WUB_TM18_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM18_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM18_R2_rmphix_fastqc
%GC	65	WUB_TM18_R2_rmphix_fastqc
Filename	WUB_TM19_R1_rmphix.fq.gz	WUB_TM19_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM19_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM19_R1_rmphix_fastqc
Total Sequences	70367811	WUB_TM19_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM19_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM19_R1_rmphix_fastqc
%GC	66	WUB_TM19_R1_rmphix_fastqc
Filename	WUB_TM19_R2_rmphix.fq.gz	WUB_TM19_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM19_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM19_R2_rmphix_fastqc
Total Sequences	70367811	WUB_TM19_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM19_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM19_R2_rmphix_fastqc
%GC	66	WUB_TM19_R2_rmphix_fastqc
Filename	WUB_TM20_R1_rmphix.fq.gz	WUB_TM20_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM20_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM20_R1_rmphix_fastqc
Total Sequences	92474959	WUB_TM20_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM20_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM20_R1_rmphix_fastqc
%GC	66	WUB_TM20_R1_rmphix_fastqc
Filename	WUB_TM20_R2_rmphix.fq.gz	WUB_TM20_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM20_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM20_R2_rmphix_fastqc
Total Sequences	92474959	WUB_TM20_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM20_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM20_R2_rmphix_fastqc
%GC	66	WUB_TM20_R2_rmphix_fastqc
Filename	WUB_TM21_R1_rmphix.fq.gz	WUB_TM21_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM21_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM21_R1_rmphix_fastqc
Total Sequences	60798785	WUB_TM21_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM21_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM21_R1_rmphix_fastqc
%GC	65	WUB_TM21_R1_rmphix_fastqc
Filename	WUB_TM21_R2_rmphix.fq.gz	WUB_TM21_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM21_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM21_R2_rmphix_fastqc
Total Sequences	60798785	WUB_TM21_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM21_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM21_R2_rmphix_fastqc
%GC	65	WUB_TM21_R2_rmphix_fastqc
